State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
VIC,81230,89860,108600,123450,132640,109130,104900,112280,119250,122250,128170,140220,159630,161170,168310,150640,27140,129310,211950
NSW,125180,132750,150600,170960,169020,144210,141980,140860,152630,155530,160910,170890,198300,191450,194270,172430,70530,152870,251560
