Year,  Conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other
2013,-6.428813477271622,-1.5456212534479818,8.328420796742542,7.24485102835708,-4.186972920286481,0.4960905904556556,2.628530050687905
2014,16.772724921103,-2.026921270934423,8.818562796986228,7.277758978259197,12.707328939802732,1.955786875570098,3.781838707401386
2015,-10.845775552700365,-3.8261842000159807,6.674296791223289,9.210694799698938,24.440781728278793,20.91676972870562,3.317696648310564
2016,2.2412165184117594,1.66279069767441,0.5422542698898969,21.537955588601164,-11.958372753074741,9.148676880222851,12.018819503849443
2017,29.78516574317098,7.8184996977173515,17.1143455940318,2.297411764705881,-8.080808080808078,11.663609538240681,-15.505037154521695
2018,13.684368212118937,4.9343800200042365,14.540305368576579,-0.19090817086970802,-18.61896968279947,7.229582544727342,7.852474972191326
2019,8.59797074713402,-2.4017214985124657,1.9801767323858854,3.1428742619845407,3.2608695652173836,3.3086337523936304,-2.4333644889934614
2020,-88.45780501122368,-82.18825374746592,-80.58589138134593,-82.3639548497225,-68.82912126130304,-70.94548854002127,-73.589455602537
2021,-94.95400788436268,-82.61194649829692,-73.21134459104812,-97.29267489294854,-66.15590598036299,-95.34006435149229,-71.4196372732958
2022,6141.145833333334,1177.6397515527951,1094.2976825890141,4843.144595226953,559.1648351648352,2279.5238095238096,483.06345733041576
2023,102.41174997913708,66.56819116712165,48.671139572773356,173.1149713636579,91.80448119498533,107.74464678807286,112.81993544997376
