Month and Year,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2020,8080,2070,3360,570,2400,140,120,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2024,644040,524280,392150,74580,225400,16510,13860,34200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
